row;NCIt Code;NCIt PT;NCIt Definition;CTCAE PT;CTCAE 5.0 Definition;MedDRA Term;MedDRA Code;MedDRA TermType;MedDRA Version
2429;C145901;Grade 4 Hypermagnesemia, CTCAE;">8.0 mg/dL; >3.30 mmol/L; life-threatening consequences";Grade 4 Hypermagnesemia;">8.0 mg/dL; >3.30 mmol/L; life-threatening consequences";Hypermagnesemia;10020670;LLT;20,1
2430;C146348;Grade 5 Hypermagnesemia, CTCAE;Death;Grade 5 Hypermagnesemia;Death;Hypermagnesemia;10020670;LLT;20,1
2431;C143556;Hypernatremia, CTCAE;A disorder characterized by laboratory test results that indicate an elevation in the concentration of sodium in the blood.;Hypernatremia;A disorder characterized by laboratory test results that indicate an elevation in the concentration of sodium in the blood.;Hypernatremia;10020680;LLT;20,1
2432;C144167;Grade 1 Hypernatremia, CTCAE;>ULN-150 mmol/L;Grade 1 Hypernatremia;>ULN-150 mmol/L;Hypernatremia;10020680;LLT;20,1
2433;C144728;Grade 2 Hypernatremia, CTCAE;">150-155 mmol/L; intervention initiated";Grade 2 Hypernatremia;">150-155 mmol/L; intervention initiated";Hypernatremia;10020680;LLT;20,1
2434;C145351;Grade 3 Hypernatremia, CTCAE;">155-160 mmol/L; hospitalization indicated";Grade 3 Hypernatremia;">155-160 mmol/L; hospitalization indicated";Hypernatremia;10020680;LLT;20,1
2435;C145902;Grade 4 Hypernatremia, CTCAE;">160 mmol/L; life-threatening consequences";Grade 4 Hypernatremia;">160 mmol/L; life-threatening consequences";Hypernatremia;10020680;LLT;20,1
2436;C146349;Grade 5 Hypernatremia, CTCAE;Death;Grade 5 Hypernatremia;Death;Hypernatremia;10020680;LLT;20,1
2437;C143222;Hyperphosphatemia, CTCAE;A disorder characterized by laboratory test results that indicate an elevation in the concentration of phosphate in a blood.;Hyperphosphatemia;A disorder characterized by laboratory test results that indicate an elevation in the concentration of phosphate in a blood.;Hyperphosphatemia;10020712;LLT;20,1
2438;C144169;Grade 1 Hyperphosphatemia, CTCAE;Laboratory finding only and intervention not indicated;Grade 1 Hyperphosphatemia;Laboratory finding only and intervention not indicated;Hyperphosphatemia;10020712;LLT;20,1
2439;C144730;Grade 2 Hyperphosphatemia, CTCAE;Noninvasive intervention indicated;Grade 2 Hyperphosphatemia;Noninvasive intervention indicated;Hyperphosphatemia;10020712;LLT;20,1
2440;C145352;Grade 3 Hyperphosphatemia, CTCAE;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated";Grade 3 Hyperphosphatemia;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated";Hyperphosphatemia;10020712;LLT;20,1
2441;C145903;Grade 4 Hyperphosphatemia, CTCAE;"Life-threatening consequences; urgent intervention indicated (e.g., dialysis)";Grade 4 Hyperphosphatemia;"Life-threatening consequences; urgent intervention indicated (e.g., dialysis)";Hyperphosphatemia;10020712;LLT;20,1
2442;C146350;Grade 5 Hyperphosphatemia, CTCAE;Death;Grade 5 Hyperphosphatemia;Death;Hyperphosphatemia;10020712;LLT;20,1
2443;C143562;Hypertriglyceridemia, CTCAE;A disorder characterized by laboratory test results that indicate an elevation in the concentration of triglyceride concentration in the blood.;Hypertriglyceridemia;A disorder characterized by laboratory test results that indicate an elevation in the concentration of triglyceride concentration in the blood.;Hypertriglyceridemia;10020870;LLT;20,1
2444;C144173;Grade 1 Hypertriglyceridemia, CTCAE;"150 mg/dL-300 mg/dL; 1.71 mmol/L-3.42 mmol/L";Grade 1 Hypertriglyceridemia;"150 mg/dL-300 mg/dL; 1.71 mmol/L-3.42 mmol/L";Hypertriglyceridemia;10020870;LLT;20,1
2445;C144734;Grade 2 Hypertriglyceridemia, CTCAE;">300 mg/dL-500 mg/dL; >3.42 mmol/L-5.7 mmol/L";Grade 2 Hypertriglyceridemia;">300 mg/dL-500 mg/dL; >3.42 mmol/L-5.7 mmol/L";Hypertriglyceridemia;10020870;LLT;20,1
2446;C145355;Grade 3 Hypertriglyceridemia, CTCAE;">500 mg/dL-1000 mg/dL; >5.7 mmol/L-11.4 mmol/L";Grade 3 Hypertriglyceridemia;">500 mg/dL-1000 mg/dL; >5.7 mmol/L-11.4 mmol/L";Hypertriglyceridemia;10020870;LLT;20,1
2447;C145905;Grade 4 Hypertriglyceridemia, CTCAE;">1000 mg/dL; >11.4 mmol/L; life-threatening consequences";Grade 4 Hypertriglyceridemia;">1000 mg/dL; >11.4 mmol/L; life-threatening consequences";Hypertriglyceridemia;10020870;LLT;20,1
2448;C146352;Grade 5 Hypertriglyceridemia, CTCAE;Death;Grade 5 Hypertriglyceridemia;Death;Hypertriglyceridemia;10020870;LLT;20,1
2449;C143563;Hyperuricemia, CTCAE;A disorder characterized by laboratory test results that indicate an elevation in the concentration of uric acid.;Hyperuricemia;A disorder characterized by laboratory test results that indicate an elevation in the concentration of uric acid.;Hyperuricemia;10020907;LLT;20,1
2450;C144174;Grade 1 Hyperuricemia, CTCAE;>ULN without physiologic consequences;Grade 1 Hyperuricemia;>ULN without physiologic consequences;Hyperuricemia;10020907;LLT;20,1
2451;C145356;Grade 3 Hyperuricemia, CTCAE;>ULN with physiologic consequences;Grade 3 Hyperuricemia;>ULN with physiologic consequences;Hyperuricemia;10020907;LLT;20,1
2452;C145906;Grade 4 Hyperuricemia, CTCAE;Life-threatening consequences;Grade 4 Hyperuricemia;Life-threatening consequences;Hyperuricemia;10020907;LLT;20,1
2453;C146353;Grade 5 Hyperuricemia, CTCAE;Death;Grade 5 Hyperuricemia;Death;Hyperuricemia;10020907;LLT;20,1
2454;C143564;Hypoalbuminemia, CTCAE;A disorder characterized by laboratory test results that indicate a low concentration of albumin in the blood.;Hypoalbuminemia;A disorder characterized by laboratory test results that indicate a low concentration of albumin in the blood.;Hypoalbuminemia;10020943;LLT;20,1
2455;C144175;Grade 1 Hypoalbuminemia, CTCAE;"<LLN-3 g/dL; <LLN-30 g/L";Grade 1 Hypoalbuminemia;"<LLN-3 g/dL; <LLN-30 g/L";Hypoalbuminemia;10020943;LLT;20,1
2456;C144735;Grade 2 Hypoalbuminemia, CTCAE;"<3-2 g/dL; <30-20 g/L";Grade 2 Hypoalbuminemia;"<3-2 g/dL; <30-20 g/L";Hypoalbuminemia;10020943;LLT;20,1
2457;C145357;Grade 3 Hypoalbuminemia, CTCAE;"<2 g/dL; <20 g/L";Grade 3 Hypoalbuminemia;"<2 g/dL; <20 g/L";Hypoalbuminemia;10020943;LLT;20,1
2458;C145907;Grade 4 Hypoalbuminemia, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Hypoalbuminemia;"Life-threatening consequences; urgent intervention indicated";Hypoalbuminemia;10020943;LLT;20,1
2459;C146354;Grade 5 Hypoalbuminemia, CTCAE;Death;Grade 5 Hypoalbuminemia;Death;Hypoalbuminemia;10020943;LLT;20,1
2460;C143565;Hypocalcemia, CTCAE;A disorder characterized by laboratory test results that indicate a low concentration of calcium (corrected for albumin) in the blood.;Hypocalcemia;A disorder characterized by laboratory test results that indicate a low concentration of calcium (corrected for albumin) in the blood.;Hypocalcemia;10020949;LLT;20,1
2461;C144176;Grade 1 Hypocalcemia, CTCAE;"Corrected serum calcium of <LLN-8.0 mg/dL; <LLN-2.0 mmol/L; Ionized calcium <LLN-1.0 mmol/L";Grade 1 Hypocalcemia;"Corrected serum calcium of <LLN-8.0 mg/dL; <LLN-2.0 mmol/L; Ionized calcium <LLN-1.0 mmol/L";Hypocalcemia;10020949;LLT;20,1
2462;C144736;Grade 2 Hypocalcemia, CTCAE;"Corrected serum calcium of <8.0-7.0 mg/dL; <2.0-1.75 mmol/L; Ionized calcium <1.0-0.9 mmol/L; symptomatic";Grade 2 Hypocalcemia;"Corrected serum calcium of <8.0-7.0 mg/dL; <2.0-1.75 mmol/L; Ionized calcium <1.0-0.9 mmol/L; symptomatic";Hypocalcemia;10020949;LLT;20,1
2463;C145358;Grade 3 Hypocalcemia, CTCAE;"Corrected serum calcium of <7.0-6.0 mg/dL; <1.75-1.5 mmol/L; Ionized calcium <0.9-0.8 mmol/L; hospitalization indicated";Grade 3 Hypocalcemia;"Corrected serum calcium of <7.0-6.0 mg/dL; <1.75-1.5 mmol/L; Ionized calcium <0.9-0.8 mmol/L; hospitalization indicated";Hypocalcemia;10020949;LLT;20,1
2464;C145908;Grade 4 Hypocalcemia, CTCAE;"Corrected serum calcium of <6.0 mg/dL; <1.5 mmol/L; Ionized calcium <0.8 mmol/L; life-threatening consequences";Grade 4 Hypocalcemia;"Corrected serum calcium of <6.0 mg/dL; <1.5 mmol/L; Ionized calcium <0.8 mmol/L; life-threatening consequences";Hypocalcemia;10020949;LLT;20,1
2465;C146355;Grade 5 Hypocalcemia, CTCAE;Death;Grade 5 Hypocalcemia;Death;Hypocalcemia;10020949;LLT;20,1
2466;C143567;Hypoglycemia, CTCAE;A disorder characterized by laboratory test results that indicate a low concentration of glucose in the blood.;Hypoglycemia;A disorder characterized by laboratory test results that indicate a low concentration of glucose in the blood.;Hypoglycemia;10021005;LLT;20,1
2467;C144178;Grade 1 Hypoglycemia, CTCAE;"<LLN-55 mg/dL; <LLN-3.0 mmol/L";Grade 1 Hypoglycemia;"<LLN-55 mg/dL; <LLN-3.0 mmol/L";Hypoglycemia;10021005;LLT;20,1
2468;C144738;Grade 2 Hypoglycemia, CTCAE;"<55-40 mg/dL; <3.0-2.2 mmol/L";Grade 2 Hypoglycemia;"<55-40 mg/dL; <3.0-2.2 mmol/L";Hypoglycemia;10021005;LLT;20,1
2469;C145360;Grade 3 Hypoglycemia, CTCAE;"<40-30 mg/dL; <2.2-1.7 mmol/L";Grade 3 Hypoglycemia;"<40-30 mg/dL; <2.2-1.7 mmol/L";Hypoglycemia;10021005;LLT;20,1
2470;C145909;Grade 4 Hypoglycemia, CTCAE;"<30 mg/dL; <1.7 mmol/L; life-threatening consequences; seizures";Grade 4 Hypoglycemia;"<30 mg/dL; <1.7 mmol/L; life-threatening consequences; seizures";Hypoglycemia;10021005;LLT;20,1
2471;C146356;Grade 5 Hypoglycemia, CTCAE;Death;Grade 5 Hypoglycemia;Death;Hypoglycemia;10021005;LLT;20,1
2472;C143569;Hypokalemia, CTCAE;A disorder characterized by laboratory test results that indicate a low concentration of potassium in the blood.;Hypokalemia;A disorder characterized by laboratory test results that indicate a low concentration of potassium in the blood.;Hypokalemia;10021018;LLT;20,1
2473;C144179;Grade 1 Hypokalemia, CTCAE;<LLN-3.0 mmol/L;Grade 1 Hypokalemia;<LLN-3.0 mmol/L;Hypokalemia;10021018;LLT;20,1
2474;C144740;Grade 2 Hypokalemia, CTCAE;"Symptomatic with <LLN-3.0 mmol/L; intervention indicated";Grade 2 Hypokalemia;"Symptomatic with <LLN-3.0 mmol/L; intervention indicated";Hypokalemia;10021018;LLT;20,1
2475;C145362;Grade 3 Hypokalemia, CTCAE;"<3.0-2.5 mmol/L; hospitalization indicated";Grade 3 Hypokalemia;"<3.0-2.5 mmol/L; hospitalization indicated";Hypokalemia;10021018;LLT;20,1
2476;C145911;Grade 4 Hypokalemia, CTCAE;"<2.5 mmol/L; life-threatening consequences";Grade 4 Hypokalemia;"<2.5 mmol/L; life-threatening consequences";Hypokalemia;10021018;LLT;20,1
2477;C146358;Grade 5 Hypokalemia, CTCAE;Death;Grade 5 Hypokalemia;Death;Hypokalemia;10021018;LLT;20,1
2478;C143570;Hypomagnesemia, CTCAE;A disorder characterized by laboratory test results that indicate a low concentration of magnesium in the blood.;Hypomagnesemia;A disorder characterized by laboratory test results that indicate a low concentration of magnesium in the blood.;Hypomagnesemia;10021028;LLT;20,1
2479;C144180;Grade 1 Hypomagnesemia, CTCAE;"<LLN-1.2 mg/dL; <LLN-0.5 mmol/L";Grade 1 Hypomagnesemia;"<LLN-1.2 mg/dL; <LLN-0.5 mmol/L";Hypomagnesemia;10021028;LLT;20,1
2480;C144741;Grade 2 Hypomagnesemia, CTCAE;"<1.2-0.9 mg/dL; <0.5-0.4 mmol/L";Grade 2 Hypomagnesemia;"<1.2-0.9 mg/dL; <0.5-0.4 mmol/L";Hypomagnesemia;10021028;LLT;20,1
2481;C145363;Grade 3 Hypomagnesemia, CTCAE;"<0.9-0.7 mg/dL; <0.4-0.3 mmol/L";Grade 3 Hypomagnesemia;"<0.9-0.7 mg/dL; <0.4-0.3 mmol/L";Hypomagnesemia;10021028;LLT;20,1
2482;C145912;Grade 4 Hypomagnesemia, CTCAE;"<0.7 mg/dL; <0.3 mmol/L; life-threatening consequences";Grade 4 Hypomagnesemia;"<0.7 mg/dL; <0.3 mmol/L; life-threatening consequences";Hypomagnesemia;10021028;LLT;20,1
2483;C146359;Grade 5 Hypomagnesemia, CTCAE;Death;Grade 5 Hypomagnesemia;Death;Hypomagnesemia;10021028;LLT;20,1
2484;C143571;Hyponatremia, CTCAE;A disorder characterized by laboratory test results that indicate a low concentration of sodium in the blood.;Hyponatremia;A disorder characterized by laboratory test results that indicate a low concentration of sodium in the blood.;Hyponatremia;10021038;LLT;20,1
2485;C144181;Grade 1 Hyponatremia, CTCAE;<LLN-130 mmol/L;Grade 1 Hyponatremia;<LLN-130 mmol/L;Hyponatremia;10021038;LLT;20,1
2486;C144742;Grade 2 Hyponatremia, CTCAE;125-129 mmol/L and asymptomatic;Grade 2 Hyponatremia;125-129 mmol/L and asymptomatic;Hyponatremia;10021038;LLT;20,1
2487;C145364;Grade 3 Hyponatremia, CTCAE;"125-129 mmol/L symptomatic; 120-124 mmol/L regardless of symptoms";Grade 3 Hyponatremia;"125-129 mmol/L symptomatic; 120-124 mmol/L regardless of symptoms";Hyponatremia;10021038;LLT;20,1
2488;C145913;Grade 4 Hyponatremia, CTCAE;"<120 mmol/L; life-threatening consequences";Grade 4 Hyponatremia;"<120 mmol/L; life-threatening consequences";Hyponatremia;10021038;LLT;20,1
2489;C146360;Grade 5 Hyponatremia, CTCAE;Death;Grade 5 Hyponatremia;Death;Hyponatremia;10021038;LLT;20,1
2490;C143573;Hypophosphatemia, CTCAE;A disorder characterized by laboratory test results that indicate a low concentration of phosphates in the blood.;Hypophosphatemia;A disorder characterized by laboratory test results that indicate a low concentration of phosphates in the blood.;Hypophosphatemia;10021059;LLT;20,1
2491;C144183;Grade 1 Hypophosphatemia, CTCAE;Laboratory finding only and intervention not indicated;Grade 1 Hypophosphatemia;Laboratory finding only and intervention not indicated;Hypophosphatemia;10021059;LLT;20,1
2492;C144744;Grade 2 Hypophosphatemia, CTCAE;Oral replacement therapy indicated;Grade 2 Hypophosphatemia;Oral replacement therapy indicated;Hypophosphatemia;10021059;LLT;20,1
2493;C145366;Grade 3 Hypophosphatemia, CTCAE;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated";Grade 3 Hypophosphatemia;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated";Hypophosphatemia;10021059;LLT;20,1
2494;C145915;Grade 4 Hypophosphatemia, CTCAE;Life-threatening consequences;Grade 4 Hypophosphatemia;Life-threatening consequences;Hypophosphatemia;10021059;LLT;20,1
2495;C146362;Grade 5 Hypophosphatemia, CTCAE;Death;Grade 5 Hypophosphatemia;Death;Hypophosphatemia;10021059;LLT;20,1
2496;C55993;Iron Overload, CTCAE;A disorder characterized by accumulation of iron in the tissues.;Iron overload;A disorder characterized by accumulation of iron in the tissues.;Iron overload;10065973;LLT;20,1
2497;C55948;Grade 2 Iron Overload, CTCAE;"Moderate symptoms; intervention not indicated";Grade 2 Iron overload;"Moderate symptoms; intervention not indicated";Iron overload;10065973;LLT;20,1
2498;C55960;Grade 3 Iron Overload, CTCAE;"Severe symptoms; intervention indicated";Grade 3 Iron overload;"Severe symptoms; intervention indicated";Iron overload;10065973;LLT;20,1
2499;C55970;Grade 4 Iron Overload, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Iron overload;"Life-threatening consequences; urgent intervention indicated";Iron overload;10065973;LLT;20,1
2500;C55983;Grade 5 Iron Overload, CTCAE;Death;Grade 5 Iron overload;Death;Iron overload;10065973;LLT;20,1
2501;C143672;Metabolism and Nutrition Disorders - Other, Specify, CTCAE;;Metabolism and nutrition disorders - Other, specify;;Metabolism and nutrition disorders - Other, specify;10027433;LLT;20,1
2502;C144261;Grade 1 Metabolism and Nutrition Disorders - Other, Specify, CTCAE;"Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated";Grade 1 Metabolism and nutrition disorders - Other, specify;"Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated";Metabolism and nutrition disorders - Other, specify;10027433;LLT;20,1
2503;C144837;Grade 2 Metabolism and Nutrition Disorders - Other, Specify, CTCAE;"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL";Grade 2 Metabolism and nutrition disorders - Other, specify;"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL";Metabolism and nutrition disorders - Other, specify;10027433;LLT;20,1
2504;C145459;Grade 3 Metabolism and Nutrition Disorders - Other, Specify, CTCAE;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL";Grade 3 Metabolism and nutrition disorders - Other, specify;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL";Metabolism and nutrition disorders - Other, specify;10027433;LLT;20,1
2505;C145995;Grade 4 Metabolism and Nutrition Disorders - Other, Specify, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Metabolism and nutrition disorders - Other, specify;"Life-threatening consequences; urgent intervention indicated";Metabolism and nutrition disorders - Other, specify;10027433;LLT;20,1
2506;C146440;Grade 5 Metabolism and Nutrition Disorders - Other, Specify, CTCAE;Death;Grade 5 Metabolism and nutrition disorders - Other, specify;Death;Metabolism and nutrition disorders - Other, specify;10027433;LLT;20,1
2507;C55334;Obesity, CTCAE;A disorder characterized by having a high amount of body fat.;Obesity;A disorder characterized by having a high amount of body fat.;Obesity;10029883;LLT;20,1
2508;C55305;Grade 2 Obesity, CTCAE;BMI 25-29.9 kg/m2;Grade 2 Obesity;BMI 25-29.9 kg/m2;Obesity;10029883;LLT;20,1
2509;C55315;Grade 3 Obesity, CTCAE;BMI 30-39.9 kg/m2;Grade 3 Obesity;BMI 30-39.9 kg/m2;Obesity;10029883;LLT;20,1
2510;C55324;Grade 4 Obesity, CTCAE;BMI >=40 kg/m2;Grade 4 Obesity;BMI >=40 kg/m2;Obesity;10029883;LLT;20,1
2511;C146688;Tumor Lysis Syndrome, CTCAE 5.0;A disorder characterized by metabolic abnormalities that result from a spontaneous or therapy-related cytolysis of tumor cells.;Tumor lysis syndrome;A disorder characterized by metabolic abnormalities that result from a spontaneous or therapy-related cytolysis of tumor cells.;Tumor lysis syndrome;10045152;LLT;20,1
2512;C56620;Grade 3 Tumor Lysis Syndrome, CTCAE;Present;Grade 3 Tumor lysis syndrome;Present;Tumor lysis syndrome;10045152;LLT;20,1
2513;C146159;Grade 4 Tumor Lysis Syndrome, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Tumor lysis syndrome;"Life-threatening consequences; urgent intervention indicated";Tumor lysis syndrome;10045152;LLT;20,1
2514;C56632;Grade 5 Tumor Lysis Syndrome, CTCAE;Death;Grade 5 Tumor lysis syndrome;Death;Tumor lysis syndrome;10045152;LLT;20,1
2515;C143175;Musculoskeletal and Connective Tissue Disorders, CTCAE;;;;;;;
2516;C143256;Abdominal Soft Tissue Necrosis, CTCAE;A disorder characterized by a necrotic process occurring in the soft tissues of the abdominal wall.;Abdominal soft tissue necrosis;A disorder characterized by a necrotic process occurring in the soft tissues of the abdominal wall.;Abdominal soft tissue necrosis;10065775;LLT;20,1
2517;C144497;Grade 2 Abdominal Soft Tissue Necrosis, CTCAE;"Local wound care; medical intervention indicated (e.g., dressings or topical medications)";Grade 2 Abdominal soft tissue necrosis;"Local wound care; medical intervention indicated (e.g., dressings or topical medications)";Abdominal soft tissue necrosis;10065775;LLT;20,1
2518;C145113;Grade 3 Abdominal Soft Tissue Necrosis, CTCAE;Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting);Grade 3 Abdominal soft tissue necrosis;Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting);Abdominal soft tissue necrosis;10065775;LLT;20,1
2519;C145731;Grade 4 Abdominal Soft Tissue Necrosis, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Abdominal soft tissue necrosis;"Life-threatening consequences; urgent intervention indicated";Abdominal soft tissue necrosis;10065775;LLT;20,1
2520;C146203;Grade 5 Abdominal Soft Tissue Necrosis, CTCAE;Death;Grade 5 Abdominal soft tissue necrosis;Death;Abdominal soft tissue necrosis;10065775;LLT;20,1
2521;C143298;Arthralgia, CTCAE;A disorder characterized by a sensation of marked discomfort in a joint.;Arthralgia;A disorder characterized by a sensation of marked discomfort in a joint.;Arthralgia;10003239;LLT;20,1
2522;C143987;Grade 1 Arthralgia, CTCAE;Mild pain;Grade 1 Arthralgia;Mild pain;Arthralgia;10003239;LLT;20,1
2523;C144525;Grade 2 Arthralgia, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Arthralgia;"Moderate pain; limiting instrumental ADL";Arthralgia;10003239;LLT;20,1
2524;C145148;Grade 3 Arthralgia, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Arthralgia;"Severe pain; limiting self care ADL";Arthralgia;10003239;LLT;20,1
2525;C143299;Arthritis, CTCAE;A disorder characterized by inflammation involving a joint.;Arthritis;A disorder characterized by inflammation involving a joint.;Arthritis;10003246;LLT;20,1
2526;C143988;Grade 1 Arthritis, CTCAE;Mild pain with inflammation, erythema, or joint swelling;Grade 1 Arthritis;Mild pain with inflammation, erythema, or joint swelling;Arthritis;10003246;LLT;20,1
2527;C144526;Grade 2 Arthritis, CTCAE;"Moderate pain associated with signs of inflammation, erythema, or joint swelling; limiting instrumental ADL";Grade 2 Arthritis;"Moderate pain associated with signs of inflammation, erythema, or joint swelling; limiting instrumental ADL";Arthritis;10003246;LLT;20,1
2528;C145149;Grade 3 Arthritis, CTCAE;"Severe pain associated with signs of inflammation, erythema, or joint swelling; irreversible joint damage; limiting self care ADL";Grade 3 Arthritis;"Severe pain associated with signs of inflammation, erythema, or joint swelling; irreversible joint damage; limiting self care ADL";Arthritis;10003246;LLT;20,1
2529;C143311;Avascular Necrosis, CTCAE;A disorder characterized by necrotic changes in the bone tissue due to interruption of blood supply. Most often affecting the epiphysis of the long bones, the necrotic changes result in the collapse and the destruction of the bone structure.;Avascular necrosis;A disorder characterized by necrotic changes in the bone tissue due to interruption of blood supply. Most often affecting the epiphysis of the long bones, the necrotic changes result in the collapse and the destruction of the bone structure.;Avascular necrosis;10066480;LLT;20,1
2530;C143993;Grade 1 Avascular Necrosis, CTCAE;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Grade 1 Avascular necrosis;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Avascular necrosis;10066480;LLT;20,1
2531;C144532;Grade 2 Avascular Necrosis, CTCAE;"Symptomatic; limiting instrumental ADL";Grade 2 Avascular necrosis;"Symptomatic; limiting instrumental ADL";Avascular necrosis;10066480;LLT;20,1
2532;C145154;Grade 3 Avascular Necrosis, CTCAE;"Severe symptoms; limiting self care ADL; elective operative intervention indicated";Grade 3 Avascular necrosis;"Severe symptoms; limiting self care ADL; elective operative intervention indicated";Avascular necrosis;10066480;LLT;20,1
2533;C145759;Grade 4 Avascular Necrosis, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Avascular necrosis;"Life-threatening consequences; urgent intervention indicated";Avascular necrosis;10066480;LLT;20,1
2534;C146228;Grade 5 Avascular Necrosis, CTCAE;Death;Grade 5 Avascular necrosis;Death;Avascular necrosis;10066480;LLT;20,1
2535;C146739;Back Pain, CTCAE 5.0;A disorder characterized by a sensation of marked discomfort in the back region.;Back pain;A disorder characterized by a sensation of marked discomfort in the back region.;Back pain;10003988;LLT;20,1
2536;C56011;Grade 1 Back Pain, CTCAE;Mild pain;Grade 1 Back pain;Mild pain;Back pain;10003988;LLT;20,1
2537;C56012;Grade 2 Back Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Back pain;"Moderate pain; limiting instrumental ADL";Back pain;10003988;LLT;20,1
2538;C56013;Grade 3 Back Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Back pain;"Severe pain; limiting self care ADL";Back pain;10003988;LLT;20,1
2539;C146741;Bone Pain, CTCAE 5.0;A disorder characterized by a sensation of marked discomfort in the bones.;Bone pain;A disorder characterized by a sensation of marked discomfort in the bones.;Bone pain;10006002;LLT;20,1
2540;C56021;Grade 1 Bone Pain, CTCAE;Mild pain;Grade 1 Bone pain;Mild pain;Bone pain;10006002;LLT;20,1
2541;C56022;Grade 2 Bone Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Bone pain;"Moderate pain; limiting instrumental ADL";Bone pain;10006002;LLT;20,1
2542;C56023;Grade 3 Bone Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Bone pain;"Severe pain; limiting self care ADL";Bone pain;10006002;LLT;20,1
2543;C146744;Buttock Pain, CTCAE 5.0;A disorder characterized by a sensation of marked discomfort in the buttocks.;Buttock pain;A disorder characterized by a sensation of marked discomfort in the buttocks.;Buttock pain;10048677;LLT;20,1
2544;C56031;Grade 1 Buttock Pain, CTCAE;Mild pain;Grade 1 Buttock pain;Mild pain;Buttock pain;10048677;LLT;20,1
2545;C56032;Grade 2 Buttock Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Buttock pain;"Moderate pain; limiting instrumental ADL";Buttock pain;10048677;LLT;20,1
2546;C56033;Grade 3 Buttock Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Buttock pain;"Severe pain; limiting self care ADL";Buttock pain;10048677;LLT;20,1
2547;C143223;Chest Wall Necrosis, CTCAE;A disorder characterized by a necrotic process occurring in the soft tissues of the chest wall including breast.;Chest wall necrosis;A disorder characterized by a necrotic process occurring in the soft tissues of the chest wall including breast.;Chest wall necrosis;10048831;LLT;20,1
2548;C144576;Grade 2 Chest Wall Necrosis, CTCAE;"Local wound care; medical intervention indicated (e.g., dressings or topical medications)";Grade 2 Chest wall necrosis;"Local wound care; medical intervention indicated (e.g., dressings or topical medications)";Chest wall necrosis;10048831;LLT;20,1
2549;C145193;Grade 3 Chest Wall Necrosis, CTCAE;Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting);Grade 3 Chest wall necrosis;Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting);Chest wall necrosis;10048831;LLT;20,1
2550;C145791;Grade 4 Chest Wall Necrosis, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Chest wall necrosis;"Life-threatening consequences; urgent intervention indicated";Chest wall necrosis;10048831;LLT;20,1
2551;C146257;Grade 5 Chest Wall Necrosis, CTCAE;Death;Grade 5 Chest wall necrosis;Death;Chest wall necrosis;10048831;LLT;20,1
2552;C146743;Chest Wall Pain, CTCAE 5.0;A disorder characterized by a sensation of marked discomfort in the chest wall.;Chest wall pain;A disorder characterized by a sensation of marked discomfort in the chest wall.;Chest wall pain;10008496;LLT;20,1
2553;C56041;Grade 1 Chest Wall Pain, CTCAE;Mild pain;Grade 1 Chest wall pain;Mild pain;Chest wall pain;10008496;LLT;20,1
2554;C56042;Grade 2 Chest Wall Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Chest wall pain;"Moderate pain; limiting instrumental ADL";Chest wall pain;10008496;LLT;20,1
