MedDRA Code,MedDRA SOC,CTCAE Term,Grade 1   ,Grade 2   ,Grade 3   ,Grade 4   ,Grade 5   ,Definition,Navigational Note,CTCAE v5.0 Change
10001680,Metabolism and nutrition disorders,Alkalosis,"pH >normal, but <=7.5", -,pH >7.5,Life-threatening consequences,Death,A disorder characterized by abnormally high alkalinity (low hydrogen-ion concentration) of the blood and other body tissues.,,
10002646,Metabolism and nutrition disorders,Anorexia,Loss of appetite without alteration in eating habits,Oral intake altered without significant weight loss or malnutrition; oral nutritional supplements indicated,"Associated with significant weight loss or malnutrition (e.g., inadequate oral caloric and/or fluid intake); tube feeding or TPN indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a loss of appetite.,,
10012174,Metabolism and nutrition disorders,Dehydration,Increased oral fluids indicated; dry mucous membranes; diminished skin turgor,IV fluids indicated,Hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by excessive loss of water from the body. It is usually caused by severe diarrhea, vomiting or diaphoresis.",,"Clarification: Grade 2, 3"
10052426,Metabolism and nutrition disorders,Glucose intolerance,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; dietary modification or oral agent indicated,Severe symptoms; insulin indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an inability to properly metabolize glucose.,,
10020587,Metabolism and nutrition disorders,Hypercalcemia,Corrected serum calcium of >ULN - 11.5 mg/dL; >ULN - 2.9 mmol/L; Ionized calcium >ULN - 1.5 mmol/L,Corrected serum calcium of >11.5 - 12.5 mg/dL; >2.9 - 3.1 mmol/L; Ionized calcium >1.5 - 1.6 mmol/L; symptomatic,Corrected serum calcium of >12.5 - 13.5 mg/dL; >3.1 - 3.4 mmol/L; Ionized calcium >1.6 - 1.8 mmol/L; hospitalization indicated,Corrected serum calcium of >13.5 mg/dL; >3.4 mmol/L; Ionized calcium >1.8 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of calcium (corrected for albumin) in blood.,,
10020639,Metabolism and nutrition disorders,Hyperglycemia,Abnormal glucose above baseline with no medical intervention,Change in daily management from baseline for a diabetic; oral antiglycemic agent initiated; workup for diabetes,Insulin therapy initiated; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of blood sugar. It is usually an indication of diabetes mellitus or glucose intolerance.,,"Clarification: Grade 1, 2, 3, 4"
10020647,Metabolism and nutrition disorders,Hyperkalemia,>ULN - 5.5 mmol/L,>5.5 - 6.0 mmol/L; intervention initiated,>6.0 - 7.0 mmol/L; hospitalization indicated,>7.0 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of potassium in the blood; associated with kidney failure or sometimes with the use of diuretic drugs.,,Clarification: Grade 2
10020667,Metabolism and nutrition disorders,Hyperlipidemia,Requiring diet changes,Requiring pharmaceutical intervention,Hospitalization; pancreatitis,Life-threatening consequences, -,A disorder characterized by laboratory test results that indicate an elevation in the concentration of lipids in blood.,,Addition: Term
10020670,Metabolism and nutrition disorders,Hypermagnesemia,>ULN - 3.0 mg/dL; >ULN - 1.23 mmol/L, -,>3.0 - 8.0 mg/dL; >1.23 - 3.30 mmol/L,>8.0 mg/dL; >3.30 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of magnesium in the blood.,,
10020680,Metabolism and nutrition disorders,Hypernatremia,>ULN - 150 mmol/L,>150 - 155 mmol/L; intervention initiated,>155 - 160 mmol/L; hospitalization indicated,>160 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of sodium in the blood.,,Clarification: Grade 2
10020712,Metabolism and nutrition disorders,Hyperphosphatemia,Laboratory finding only and intervention not indicated,Noninvasive intervention indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated,"Life-threatening consequences; urgent intervention indicated (e.g., dialysis)",Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of phosphate in a blood.,,Addition: Term
10020870,Metabolism and nutrition disorders,Hypertriglyceridemia,150 mg/dL - 300 mg/dL; 1.71 mmol/L - 3.42 mmol/L,>300 mg/dL - 500 mg/dL; >3.42 mmol/L - 5.7 mmol/L,>500 mg/dL - 1000 mg/dL; >5.7 mmol/L - 11.4 mmol/L,>1000 mg/dL; >11.4 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of triglyceride concentration in the blood.,,
10020907,Metabolism and nutrition disorders,Hyperuricemia,>ULN without physiologic consequences, -,>ULN with physiologic consequences,Life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate an elevation in the concentration of uric acid.,,"Clarification: Grade 1, 3, 4"
10020943,Metabolism and nutrition disorders,Hypoalbuminemia,<LLN - 3 g/dL; <LLN - 30 g/L,<3 - 2 g/dL; <30 - 20 g/L,<2 g/dL; <20 g/L,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by laboratory test results that indicate a low concentration of albumin in the blood.,,
10020949,Metabolism and nutrition disorders,Hypocalcemia,Corrected serum calcium of <LLN - 8.0 mg/dL; <LLN - 2.0 mmol/L; Ionized calcium <LLN - 1.0 mmol/L,Corrected serum calcium of <8.0 - 7.0 mg/dL; <2.0 - 1.75 mmol/L; Ionized calcium <1.0 - 0.9 mmol/L; symptomatic,Corrected serum calcium of <7.0 - 6.0 mg/dL; <1.75 - 1.5 mmol/L; Ionized calcium <0.9 - 0.8 mmol/L; hospitalization indicated,Corrected serum calcium of <6.0 mg/dL; <1.5 mmol/L; Ionized calcium <0.8 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of calcium (corrected for albumin) in the blood.,,
10021005,Metabolism and nutrition disorders,Hypoglycemia,<LLN - 55 mg/dL; <LLN - 3.0 mmol/L,<55 - 40 mg/dL; <3.0 - 2.2 mmol/L,<40 - 30 mg/dL; <2.2 - 1.7 mmol/L,<30 mg/dL; <1.7 mmol/L; life-threatening consequences; seizures,Death,A disorder characterized by laboratory test results that indicate a low concentration of glucose in the blood.,,
10021018,Metabolism and nutrition disorders,Hypokalemia,<LLN - 3.0 mmol/L,Symptomatic with <LLN - 3.0 mmol/L; intervention indicated,<3.0 - 2.5 mmol/L; hospitalization indicated,<2.5 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of potassium in the blood.,,Clarification: Grade 2
10021028,Metabolism and nutrition disorders,Hypomagnesemia,<LLN - 1.2 mg/dL; <LLN - 0.5 mmol/L,<1.2 - 0.9 mg/dL; <0.5 - 0.4 mmol/L,<0.9 - 0.7 mg/dL; <0.4 - 0.3 mmol/L,<0.7 mg/dL; <0.3 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of magnesium in the blood.,,
10021038,Metabolism and nutrition disorders,Hyponatremia,<LLN - 130 mmol/L,125-129 mmol/L and asymptomatic,125-129 mmol/L symptomatic; 120-124 mmol/L regardless of symptoms,<120 mmol/L; life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of sodium in the blood.,,Addition: Grade 2; Clarification: Grade 3
10021059,Metabolism and nutrition disorders,Hypophosphatemia,Laboratory finding only and intervention not indicated,Oral replacement therapy indicated,Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated,Life-threatening consequences,Death,A disorder characterized by laboratory test results that indicate a low concentration of phosphates in the blood.,,"Clarification: Grade 1, 2, 3, 4"
10065973,Metabolism and nutrition disorders,Iron overload, -,Moderate symptoms; intervention not indicated,Severe symptoms; intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by accumulation of iron in the tissues.,,
10027433,Metabolism and nutrition disorders,"Metabolism and nutrition disorders - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10029883,Metabolism and nutrition disorders,Obesity, -,BMI 25 - 29.9 kg/m2,BMI 30 - 39.9 kg/m2,BMI >=40 kg/m2, -,A disorder characterized by having a high amount of body fat.,Use term Investigations: Weight gain,Addition: Navigational note
10045152,Metabolism and nutrition disorders,Tumor lysis syndrome, -, -,Present,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by metabolic abnormalities that result from a spontaneous or therapy-related cytolysis of tumor cells.,,
10065775,Musculoskeletal and connective tissue disorders,Abdominal soft tissue necrosis, -,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the abdominal wall.,,Clarification: Grade 3
10003239,Musculoskeletal and connective tissue disorders,Arthralgia,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in a joint.,,
10003246,Musculoskeletal and connective tissue disorders,Arthritis,"Mild pain with inflammation, erythema, or joint swelling","Moderate pain associated with signs of inflammation, erythema, or joint swelling; limiting instrumental ADL","Severe pain associated with signs of inflammation, erythema, or joint swelling; irreversible joint damage; limiting self care ADL", -, -,A disorder characterized by inflammation involving a joint.,,Clarification: Grade 3
10066480,Musculoskeletal and connective tissue disorders,Avascular necrosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; limiting instrumental ADL,Severe symptoms; limiting self care ADL; elective operative intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by necrotic changes in the bone tissue due to interruption of blood supply. Most often affecting the epiphysis of the long bones, the necrotic changes result in the collapse and the destruction of the bone structure.",Use new term: Musculoskeletal and connective tissue disorders: Osteonecrosis,Addition: Navigational note
10003988,Musculoskeletal and connective tissue disorders,Back pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the back region.,,Clarification: Definition
10006002,Musculoskeletal and connective tissue disorders,Bone pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the bones.,,Clarification: Definition
10048677,Musculoskeletal and connective tissue disorders,Buttock pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the buttocks.,,Clarification: Definition
10048831,Musculoskeletal and connective tissue disorders,Chest wall necrosis, -,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the chest wall including breast.,,Addition: Term
10008496,Musculoskeletal and connective tissue disorders,Chest wall pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the chest wall.,,Clarification: Definition
10015688,Musculoskeletal and connective tissue disorders,Exostosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; limiting instrumental ADL,Severe symptoms; limiting self care ADL; elective operative intervention indicated, -, -,A disorder characterized by non-neoplastic overgrowth of bone.,,
10065799,Musculoskeletal and connective tissue disorders,Fibrosis deep connective tissue,"Mild induration, able to move skin parallel to plane (sliding) and perpendicular to skin (pinching up)","Moderate induration, able to slide skin, unable to pinch skin; limiting instrumental ADL","Severe induration; unable to slide or pinch skin; limiting joint or orifice movement (e.g., mouth, anus); limiting self care ADL",Generalized; associated with signs or symptoms of impaired breathing or feeding,Death,A disorder characterized by fibrotic degeneration of the deep connective tissues.,,Clarification: Grade 3
10016750,Musculoskeletal and connective tissue disorders,Flank pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort on the lateral side of the body in the region below the ribs and above the hip.,,Clarification: Definition
10062572,Musculoskeletal and connective tissue disorders,Generalized muscle weakness,Symptomatic; perceived by patient but not evident on physical exam,Symptomatic; evident on physical exam; limiting instrumental ADL,Limiting self care ADL, -, -,A disorder characterized by a reduction in the strength of muscles in multiple anatomic sites.,,"Clarification: Grade 1, 2, 3"
10018761,Musculoskeletal and connective tissue disorders,Growth suppression,Reduction in growth velocity by 10 - 29% ideally measured over the period of a year,Reduction in growth velocity by 30 - 49% ideally measured over the period of a year or 0 - 49% reduction in growth from the baseline growth curve,Reduction in growth velocity of >=50% ideally measured over the period of a year, -, -,A disorder characterized by stature that is smaller than normal as expected for age.,,Clarification: Definition
10065779,Musculoskeletal and connective tissue disorders,Head soft tissue necrosis, -,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the head.,,Clarification: Grade 3
10023215,Musculoskeletal and connective tissue disorders,Joint effusion,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; limiting instrumental ADL,Severe symptoms; limiting self care ADL; invasive intervention indicated, -, -,"A disorder characterized by excessive fluid in a joint, usually as a result of joint inflammation.",,Clarification: Grade 3
10048706,Musculoskeletal and connective tissue disorders,Joint range of motion decreased,<=25% loss of ROM (range of motion); decreased ROM limiting athletic activity,>25 - 50% decrease in ROM; limiting instrumental ADL,>50% decrease in ROM; limiting self care ADL, -, -,A disorder characterized by a decrease in joint flexibility of any joint.,,Clarification: Grade 3
10065796,Musculoskeletal and connective tissue disorders,Joint range of motion decreased cervical spine,Mild restriction of rotation or flexion between 60 - 70 degrees,Rotation <60 degrees to right or left; <60 degrees of flexion,Ankylosed/fused over multiple segments with no C-spine rotation, -, -,A disorder characterized by a decrease in flexibility of a cervical spine joint.,,
10065800,Musculoskeletal and connective tissue disorders,Joint range of motion decreased lumbar spine,Stiffness; difficulty bending to the floor to pick up a very light object but able to do athletic activity,Pain with range of motion (ROM) in lumbar spine; requires a reaching aid to pick up a very light object from the floor,"<50% lumbar spine flexion; associated with symptoms of ankylosis or fused over multiple segments with no L-spine flexion (e.g., unable to reach to floor to pick up a very light object)", -, -,A disorder characterized by a decrease in flexibility of a lumbar spine joint.,,
10023509,Musculoskeletal and connective tissue disorders,Kyphosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate accentuation; limiting instrumental ADL,Severe accentuation; operative intervention indicated; limiting self care ADL, -, -,A disorder characterized by an abnormal increase in the curvature of the thoracic portion of the spine.,,
10024842,Musculoskeletal and connective tissue disorders,Lordosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate accentuation; limiting instrumental ADL,Severe accentuation; operative intervention indicated; limiting self care ADL, -, -,A disorder characterized by an abnormal increase in the curvature of the lumbar portion of the spine.,,
10028294,Musculoskeletal and connective tissue disorders,Muscle cramp,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by marked cramping sensation originating from a muscle or group of muscles.,Synonym: Muscle spasm,"Addition: Term, Navigational note"
10065776,Musculoskeletal and connective tissue disorders,Muscle weakness lower limb,Symptomatic; perceived by patient but not evident on physical exam,Symptomatic; evident on physical exam; limiting instrumental ADL,Limiting self care ADL, -, -,A disorder characterized by a reduction in the strength of the lower limb muscles.,,Clarification: Grade 3
10065795,Musculoskeletal and connective tissue disorders,Muscle weakness trunk,Symptomatic; perceived by patient but not evident on physical exam,Symptomatic; evident on physical exam; limiting instrumental ADL,Limiting self care ADL, -, -,A disorder characterized by a reduction in the strength of the trunk muscles.,,Clarification: Grade 3
10065895,Musculoskeletal and connective tissue disorders,Muscle weakness upper limb,Symptomatic; perceived by patient but not evident on physical exam,Symptomatic; evident on physical exam; limiting instrumental ADL,Limiting self care ADL, -, -,A disorder characterized by a reduction in the strength of the upper limb muscles.,,Clarification: Grade 3
10028395,Musculoskeletal and connective tissue disorders,"Musculoskeletal and connective tissue disorder - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10065783,Musculoskeletal and connective tissue disorders,Musculoskeletal deformity,Cosmetically and functionally insignificant hypoplasia,"Deformity, hypoplasia, or asymmetry able to be remediated by prosthesis (e.g., shoe insert) or covered by clothing","Significant deformity, hypoplasia, or asymmetry, unable to be remediated by prosthesis or covered by clothing; limiting self care ADL", -, -,A disorder characterized by a malformation of the musculoskeletal system.,,"Clarification: Grade 3, Definition"
10028411,Musculoskeletal and connective tissue disorders,Myalgia,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by marked discomfort sensation originating from a muscle or group of muscles.,,
10028653,Musculoskeletal and connective tissue disorders,Myositis,Mild pain,Moderate pain associated with weakness; pain limiting instrumental ADL,Pain associated with severe weakness; limiting self care ADL,Life-threatening consequences; urgent intervention indicated, -,A disorder characterized by inflammation involving the skeletal muscles.,,Addition: Grade 4
10028836,Musculoskeletal and connective tissue disorders,Neck pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the neck area.,,Clarification: Definition
10065781,Musculoskeletal and connective tissue disorders,Neck soft tissue necrosis, -,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the neck.,,Clarification: Grade 3
10031264,Musculoskeletal and connective tissue disorders,Osteonecrosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; medical intervention indicated (e.g., analgesics or bisphosphonates); limiting instrumental ADL",Severe symptoms; limiting self care ADL; elective operative intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by necrotic changes in the bone tissue due to interruption of blood supply. Most often affecting the epiphysis of the long bones, the necrotic changes result in the collapse and the destruction of the bone structure.",,Addition: Term
10064658,Musculoskeletal and connective tissue disorders,Osteonecrosis of jaw,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; medical intervention indicated (e.g., topical agents); limiting instrumental ADL",Severe symptoms; limiting self care ADL; elective operative intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the bone of the mandible.,,
10031282,Musculoskeletal and connective tissue disorders,Osteoporosis,"Adult: Radiologic evidence of osteoporosis or Bone Mineral Density (BMD) t-score -1 to -2.5 (osteopenia); 

Pediatric: Radiologic evidence of low BMD with z score of <= -2.0 and no history of significant fractures","Adult: BMD t-score < -2.5; loss of height <2 cm; therapy to improve BMD indicated; limiting instrumental ADL;

Pediatric: Low BMD (z-score <= -2.0) and significant fracture history (defined as a long bone fracture of the lower extremity, vertebral compression, 2 or more long bone fractures of the upper extremities); therapy to improve BMD indicated","Adult: Loss of height >=2 cm; hospitalization indicated; limiting self care ADL; 

Pediatric: Limiting self care ADL", -, -,"A disorder characterized by reduced bone mass, with a decrease in cortical thickness and in the number and size of the trabeculae of cancellous bone (but normal chemical composition), resulting in increased fracture incidence.",,"Clarification: Grade 1, 2, 3"
10033425,Musculoskeletal and connective tissue disorders,Pain in extremity,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,A disorder characterized by a sensation of marked discomfort in the upper or lower extremities.,,Clarification: Definition
10065793,Musculoskeletal and connective tissue disorders,Pelvic soft tissue necrosis, -,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the pelvis.,,Clarification: Grade 3
10039020,Musculoskeletal and connective tissue disorders,Rhabdomyolysis,"Asymptomatic, intervention not indicated; laboratory findings only",Non-urgent intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences; dialysis,Death,A disorder characterized by the breakdown of muscle tissue resulting in the release of muscle fiber contents into the bloodstream.,,Addition: Term
10039226,Musculoskeletal and connective tissue disorders,Rotator cuff injury,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL, -, -,A disorder characterized by an injury of the rotator cuff.,,Addition: Term
10039722,Musculoskeletal and connective tissue disorders,Scoliosis,<20 degrees; clinically undetectable,>20 - 45 degrees; visible by forward flexion; limiting instrumental ADL,>45 degrees; scapular prominence in forward flexion; operative intervention indicated; limiting self care ADL, -, -,"A disorder characterized by a malformed, lateral curvature of the spine.",,Clarification: Grade 3
10065777,Musculoskeletal and connective tissue disorders,Soft tissue necrosis lower limb, -,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the lower extremity.,,Clarification: Grade 3
10065778,Musculoskeletal and connective tissue disorders,Soft tissue necrosis upper limb, -,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the upper extremity.,,Clarification: Grade 3
10065798,Musculoskeletal and connective tissue disorders,Superficial soft tissue fibrosis,"Mild induration, able to move skin parallel to plane (sliding) and perpendicular to skin (pinching up)","Moderate induration, able to slide skin, unable to pinch skin; limiting instrumental ADL","Severe induration; unable to slide or pinch skin; limiting joint or orifice movement (e.g., mouth, anus); limiting self care ADL",Generalized; associated with signs or symptoms of impaired breathing or feeding,Death,A disorder characterized by fibrotic degeneration of the superficial soft tissues.,,
10044684,Musculoskeletal and connective tissue disorders,Trismus,Decreased ROM (range of motion) without impaired eating,"Decreased ROM requiring small bites, soft foods or purees",Decreased ROM with inability to adequately aliment or hydrate orally, -, -,A disorder characterized by lack of ability to open the mouth fully due to a decrease in the range of motion of the muscles of mastication.,,
10065738,Musculoskeletal and connective tissue disorders,Unequal limb length,Mild length discrepancy <2 cm,Moderate length discrepancy 2 - 5 cm; shoe lift indicated; limiting instrumental ADL,Severe length discrepancy >5 cm; limiting self care ADL; operative intervention indicated, -, -,A disorder characterized by a discrepancy between the lengths of the lower or upper extremities.,,"Clarification: Grade 3, Definition"
10048293,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Leukemia secondary to oncology chemotherapy, -, -, -,Present,Death,A disorder characterized by leukemia arising as a result of the mutagenic effect of chemotherapy agents.,,
10028533,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Myelodysplastic syndrome, -, -, -,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by insufficiently healthy hematapoietic cell production by the bone marrow.,,
10029104,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps) - Other, specify",Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death, -,,Clarification: Grade 3
10040907,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Skin papilloma,Asymptomatic; intervention not indicated,Intervention initiated, -, -, -,A disorder characterized by the presence of one or more warts.,,Addition: Term
10049737,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Treatment related secondary malignancy, -, -,Non life-threatening secondary malignancy,Acute life-threatening secondary malignancy; blast crisis in leukemia,Death,A disorder characterized by development of a malignancy most probably as a result of treatment for a previously existing malignancy.,,
10055351,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Tumor hemorrhage,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding in a tumor.,,Addition: Term
10045158,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Tumor pain,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL, -, -,"A disorder characterized by a sensation of marked discomfort from a neoplasm that may be pressing on a nerve, blocking blood vessels, inflamed or fractured from metastasis.",,Clarification: Definition
10053662,Nervous system disorders,Abducens nerve disorder,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL, -, -,A disorder characterized by dysfunction of the abducens nerve (sixth cranial nerve).,,Clarification: Definition
10060929,Nervous system disorders,Accessory nerve disorder,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL, -, -,A disorder characterized by dysfunction of the accessory nerve (eleventh cranial nerve).,,Clarification: Definition
10000521,Nervous system disorders,Acoustic nerve disorder NOS,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL, -, -,A disorder characterized by dysfunction of the acoustic nerve (eighth cranial nerve).,,Clarification: Definition
10001540,Nervous system disorders,Akathisia,Mild restlessness or increased motor activity,Moderate restlessness or increased motor activity; limiting instrumental ADL,Severe restlessness or increased motor activity; limiting self care ADL, -, -,A disorder characterized by an uncomfortable feeling of inner restlessness and inability to stay still; this is a side effect of some psychotropic drugs.,,
10001949,Nervous system disorders,Amnesia,Mild; transient memory loss,Moderate; short term memory loss; limiting instrumental ADL,Severe; long term memory loss; limiting self care ADL, -, -,A disorder characterized by systematic and extensive loss of memory.,,
10002653,Nervous system disorders,Anosmia,Present, -, -, -, -,A disorder characterized by a change in the sense of smell.,Also consider Olfactory nerve disorder,"Addition: Term, Navigational note"
10002953,Nervous system disorders,Aphonia, -, -,Voicelessness; unable to speak, -, -,A disorder characterized by the inability to speak. It may result from injuries to the vocal cords or may be functional (psychogenic).,,
10003074,Nervous system disorders,Arachnoiditis,Mild symptoms,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation of the arachnoid membrane and adjacent subarachnoid space.,,
10003591,Nervous system disorders,Ataxia,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL; mechanical assistance indicated, -, -,A disorder characterized by lack of coordination of muscle movements resulting in the impairment or inability to perform voluntary activities.,,
10065417,Nervous system disorders,Brachial plexopathy,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; limiting instrumental ADL,Severe symptoms; limiting self care ADL, -, -,"A disorder characterized by regional paresthesia of the brachial plexus, marked discomfort and muscle weakness, and limited movement in the arm or hand.",,
10065784,Nervous system disorders,Central nervous system necrosis,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; corticosteroids indicated,Severe symptoms; medical intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the brain and/or spinal cord.,,
